Tag	GSM1332201	GSM1332202	GSM1332203	GSM1332204	GSM1332205	GSM1332206	GSM1332207	GSM1332208	GSM1332209	GSM1332210	GSM1332211	GSM1332212	GSM1332213	GSM1332214	GSM1332215	GSM1332216	GSM1332217	GSM1332218	GSM1332219	GSM1332220	GSM1332221	GSM1332222	GSM1332223	GSM1332224	GSM1332225	GSM1332226	GSM1332227	GSM1332228	GSM1332229	GSM1332230
HTR4	23.066666666666663	17.866666666666664	20.933333333333334	19.866666666666667	53.06666666666667	41.7	73.8	58.633333333333326	28.866666666666664	68.73333333333333	39.733333333333334	17.066666666666666	22.733333333333334	17.666666666666668	31.833333333333332	25.3	34.53333333333333	18.466666666666665	27.2	92.46666666666665	34.0	49.73333333333333	22.766666666666666	57.76666666666666	23.233333333333334	20.466666666666665	27.633333333333336	41.766666666666666	29.233333333333334	31.7
CRHBP	52.7	27.6	21.9	15.1	22.9	25.6	3.7	38.7	18.9	46.0	37.3	22.9	40.8	38.7	34.3	22.7	56.1	41.0	38.4	48.3	21.8	25.1	23.4	13.2	28.7	47.9	23.7	21.5	34.3	19.2
HTR6	74.0	70.9	61.4	54.3	74.8	46.7	104.9	84.2	51.0	107.6	91.8	45.1	53.2	26.1	42.5	45.8	26.4	48.8	63.2	64.9	76.9	111.3	64.8	82.2	83.3	70.1	48.0	49.5	99.0	44.5
HTR7	4.9	1.85	10.25	9.45	2.8	2.4	2.5	6.4	2.4	2.6999999999999997	3.6999999999999997	2.9	3.45	5.1000000000000005	8.45	21.05	3.3000000000000003	2.4499999999999997	2.45	2.9	21.45	2.8499999999999996	3.65	8.8	3.4	3.3	4.05	3.3499999999999996	2.15	2.8000000000000003
APITD1 /// APITD1-CORT	44.3	35.7	73.7	32.4	12.6	42.2	33.8	47.8	52.2	68.1	97.8	60.2	91.2	60.8	72.8	64.6	45.8	45.1	52.7	92.3	88.4	80.7	51.2	65.1	43.9	66.2	18.6	50.6	63.0	35.2
BBX	253.65	193.4	422.5	440.25	295.65	324.75	144.65	302.7	253.5	269.45	250.3	261.8	219.9	340.15	471.8	147.75	134.0	152.3	215.89999999999998	227.9	209.95	363.8	195.5	335.85	293.25	283.95000000000005	211.8	212.7	186.25	220.60000000000002
GSTK1	339.5	269.2	342.5	404.0	320.8	236.1	399.5	432.4	510.0	451.5	337.6	331.6	513.0	487.0	380.3	320.5	447.7	479.5	457.2	382.9	604.1	367.2	334.1	451.4	572.9	392.2	557.8	609.4	404.7	582.5
WDR83OS	698.3	734.6	588.1	550.6	532.7	349.8	609.3	537.2	718.1	794.4	425.8	737.0	817.2	665.4	620.0	667.6	960.7	858.1	872.8	841.6	662.6	439.6	576.7	550.0	556.4	407.7	538.4	520.6	561.0	730.9
SAA2-SAA4 /// SAA4	51.9	50.0	57.7	37.0	58.4	58.0	85.3	69.7	40.7	64.5	50.6	46.3	33.8	44.2	35.2	46.5	60.0	46.9	51.7	96.9	50.6	41.4	64.8	20.4	58.4	31.6	60.8	47.1	43.8	32.5
BCR	94.95	127.39999999999999	146.5	132.95000000000002	276.65	77.6	283.9	300.1	150.05	141.3	74.80000000000001	123.25	144.05	102.45	130.7	117.19999999999999	146.5	93.80000000000001	210.25	199.6	99.5	88.9	75.25	121.85	105.25	86.8	96.2	148.7	121.60000000000001	109.9
