  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
        0        0.000        3.740            1      254.916       35.067      279.752
        1        0.174        3.718            1      253.625       31.693      274.552
        2        0.175        3.755            1      253.566       59.680      276.559
        3        0.185        3.776            1      254.802       59.777      277.401
        4        0.265        3.756            1      253.229       85.241      274.185
        5        0.280        3.732            1      253.709       75.501      276.203
        6        0.286        3.758            1      253.747       72.826      279.989
        7        0.260        3.722            1      251.953       89.156      274.156
        8        0.177        3.756            1      255.235       93.620      278.867
        9        0.226        3.735            1      252.242       76.525      275.076
       10        0.167        3.746            1      255.499       89.563      277.431
       11        0.225        3.748            1      253.499       78.343      278.885
       12        0.144        3.756            1      254.770       72.215      276.960
       13        0.257        3.765            1      252.903       89.909      279.829
       14        0.151        3.748            1      254.206       69.447      279.584
       15        0.258        3.749            1      251.911       71.789      276.080
       16        0.157        3.738            0      254.498       62.848      276.254
       17        0.199        3.733            1      252.437       64.034      276.998
       18        0.132        3.713            1      253.436       63.574      275.584
       19        0.169        3.724            1      253.084       57.822      277.201
       20        0.189        3.775            1      257.297       69.481      280.717
       21        0.259        3.787            1      255.969       78.423      277.316
       22        0.255        3.751            1      255.113       72.182      277.735
       23        0.187        3.755            1      256.055       72.335      278.424
       24        0.202        3.724            1      253.399       61.132      274.706
       25        0.206        3.761            1      256.245       69.822      280.821
       26        0.221        3.721            1      252.978       74.897      275.437
       27        0.224        3.740            1      253.134       61.960      276.944
       28        0.204        3.754            1      254.411       85.575      277.665
       29        0.252        3.773            1      254.998       69.148      280.842
       30        0.226        3.738            1      251.652       64.292      277.099
       31        0.209        3.785            1      254.421       46.943      279.370
       32        0.159        3.721            1      253.302       81.467      277.085
       33        0.303        3.736            1      251.583       63.355      272.178
       34        0.353        3.747            1      254.821       52.624      279.766
       35        0.238        3.762            1      254.904       54.652      280.060
       36        0.239        3.719            1      252.452       44.822      281.662
       37        0.164        3.716            1      253.337       67.964      278.946
       38        0.295        3.730            1      252.827       60.809      276.540
       39        0.215        3.721            1      252.775       70.837      277.157
       40        0.296        3.740            1      251.698       65.103      275.116
       41        0.197        3.759            1      255.206       71.947      281.565
       42        0.208        3.757            1      255.190       79.610      277.817
       43        0.173        3.728            1      252.863       84.106      279.501
       44        0.193        3.705            1      252.849       76.660      274.681
