   # Atom# PDBResName  wrt_Protein   wrt_Ligand 
         1                   1.059        0.258
         2                   1.837        0.415
         3                   1.955        0.278
         4                   2.035        0.387
         5                   2.157        0.438
         6                   2.149        1.712
         7                   1.721        0.470
         8                   1.403        0.099
         9                   1.220        0.168
        10                   1.116        0.176
        11                   1.098        0.186
        12                   1.452        0.235
        13                   1.608        0.232
        14                   1.627        0.126
        15                   1.482        0.275
        16                   1.736        0.272
        17                   1.396        0.826
        18                   1.725        0.194
        19                   1.663        1.169
        20                   1.446        0.755
        21                   1.861        1.244
        22                   1.430        0.315
