## Torsion are defined with the following atomIDs:
# dihed1: ai= 4079 aj= 2050 ak= 2061 al= 2065
# dihed2: ai= 2062 aj= 2063 ak= 2052 al= 4080
# dihed3: ai= 2048 aj= 2057 ak= 2058 al= 2064
# dihed4: ai= 2060 aj= 2059 ak= 2049 al= 4078
# dihed5: ai= 2069 aj= 2067 ak= 2053 al= 4081
# dihed6: ai= 2067 aj= 2069 ak= 2054 al= 4082
# Frame#   dihed1   dihed2   dihed3   dihed4   dihed5   dihed6
0  172.502  158.308   58.372   12.950    8.672  153.014
1 -172.823 -176.840   55.665    8.200    0.635  177.035
2 -178.491  161.525   40.926    2.508  -16.947 -179.104
3  169.779  178.333   58.053   13.319   11.502  176.799
4  175.989 -170.628   45.552   16.316   -8.839  160.633
5  161.047 -176.552   41.105   -9.801    4.397  179.369
6 -171.355 -168.893   71.902   17.176  -18.627  172.523
7 -176.353 -174.755   62.432    8.036   32.578  177.984
8 -171.628 -179.938   40.735   20.577   48.283  163.156
9 -170.549 -176.205   55.180    9.645   23.198 -170.511
10  179.571 -164.008   52.336    7.136   14.552  159.016
11  174.248  172.938   59.060   12.400   -2.588  148.355
12 -170.632 -160.071   51.871   32.623   13.891  174.979
13  179.041  171.009   68.251   13.585  -21.596 -168.732
14  178.396 -173.894   52.294   -7.236   24.774  175.009
15  159.136 -169.005   47.829    2.320    6.123 -149.917
16  175.222 -168.964   53.086   27.116    6.753  167.514
17  172.981 -162.892   54.584    2.157   -5.969 -163.883
18  175.450 -175.715   47.391   -8.518  -16.297  155.827
19 -179.403  173.225   55.611    0.059    4.301  169.476
20  168.808 -163.595   62.151   14.803  -30.735  175.231
21 -161.509  177.728   67.173   10.477   -1.895  178.168
22 -165.755  169.451   69.767   -0.906  -12.728  165.788
23  178.526 -175.480   70.227  -18.205   -4.972 -172.951
24 -175.935 -161.067   53.921   -3.629    7.333  173.959
25 -162.987  177.873   73.856    9.906    9.416  165.962
26  177.541 -165.979   60.006   15.481  -23.866 -172.160
27 -169.368 -165.784   43.883   28.080   16.195  155.829
28  177.973 -176.266   46.015   33.254   11.777  174.316
29  174.017  170.597   60.508    5.688  -30.043  172.349
30 -179.508 -163.900   58.030   -3.605   -0.170  166.638
31  168.690 -168.818   48.330    7.137  -16.501 -171.018
32 -158.889 -158.274   50.617   20.522  -12.589  158.509
33  167.249 -160.779   39.453   -9.136   26.952  169.713
34 -176.066 -164.772   76.295    3.390  -13.762  173.584
