Gene Symbol,Gene ID,Interaction Count,Organism Count
TNF,7124,255,7
CASP3,836,212,7
HMOX1,3162,155,4
IL1B,3553,148,5
NOS2,4843,123,5
CAT,847,118,8
BCL2,596,117,6
NFE2L2,4780,117,3
AKT1,207,111,7
BAX,581,110,7
MAPK3,5595,110,4
IL6,3569,107,5
MAPK1,5594,107,4
PTGS2,5743,97,5
CYP1A1,1543,81,5
PARP1,142,75,4
CASP9,842,72,5
RELA,5970,72,4
TNFSF10,8743,66,1
IFNG,3458,63,3
INS1,16333,60,4
TP53,7157,58,4
VEGFA,7422,56,5
MMP9,4318,53,4
TGFB1,7040,51,3
CCL2,6347,47,4
CDKN1A,1026,47,4
AR,367,46,2
NFKBIA,4792,45,4
CXCL8,3576,43,2
ABCB1,5243,42,2
GCLC,2729,39,3
ESR1,2099,38,6
CASP8,841,37,4
JUN,3725,37,4
SOD1,6647,35,5
GSR,2936,34,4
AHR,196,32,4
CCND1,595,31,3
FOS,2353,30,3
ICAM1,3383,30,3
BCL2L1,598,28,4
HIF1A,3091,28,3
MMP2,4313,28,4
BIRC5,332,27,3
SP1,6667,27,2
TLR4,7099,27,3
ABCC1,4363,26,3
NQO1,1728,26,3
SOD2,6648,26,4
MCL1,4170,25,3
AGT,183,24,3
NOS3,4846,24,5
CYP1A2,1544,23,4
EGFR,1956,23,3
ESR2,2100,23,1
HSPA5,3309,23,2
SIRT1,23411,23,3
TNFRSF10B,8795,23,1
COL1A1,1277,22,3
GPX1,2876,22,3
NFKB1,4790,22,4
PPARG,5468,22,4
ACTA2,59,21,3
EGF,1950,21,2
STAT3,6774,21,4
TGFA,7039,20,1
CYP3A4,1576,19,1
ERBB2,2064,19,1
INS,3630,19,2
PRKAA1,5562,19,2
VCAM1,7412,19,4
CTNNB1,1499,18,2
DDIT3,1649,18,2
EGR1,1958,18,3
NCF1,653361,18,3
BAD,572,17,4
BGLAP,632,17,2
CCNB1,891,17,3
CXCL10,3627,17,2
CYCS,54205,17,3
GCLM,2730,17,2
GPT,2875,17,3
PPARA,5465,17,3
SHH,6469,17,2
TYR,7299,17,2
ABCA1,19,16,2
CYP1B1,1545,16,4
FASN,2194,16,3
HMGB1,3146,16,2
MTOR,2475,16,4
ALOX15,246,15,2
CSF2,1437,15,2
MAPK8,5599,15,2
NLRP3,114548,15,2
PON1,5444,15,3
BID,637,14,3
CAV1,857,14,4
CDH1,999,14,2
CYP2E1,1571,14,3
FAS,355,14,3
MIR21,406991,14,2
MPO,4353,14,2
ACHE,43,13,3
ALB,213,13,3
APP,351,13,2
CD36,948,13,2
CXCL2,2920,13,3
EP300,2033,13,1
LEP,3952,13,3
S100B,6285,13,1
APOB,338,12,2
CASP7,840,12,1
CDK2,1017,12,1
CEBPB,1051,12,3
EDN1,1906,12,3
MAPK9,5601,12,1
MMP1,4312,12,1
PLAT,5327,12,2
SLC22A6,9356,12,3
SREBF1,6720,12,3
UGT1A1,54658,12,3
CASP1,834,11,3
CREB1,1385,11,2
FASLG,356,11,3
GSK3B,2932,11,3
GSTP1,2950,11,4
HSPA1A,3303,11,2
IRS1,3667,11,3
LDLR,3949,11,1
PPARGC1A,10891,11,3
PRKCD,5580,11,2
RUNX2,860,11,2
SERPINE1,5054,11,3
SREBF2,6721,11,2
TIMP1,7076,11,3
TOLLIP,54472,11,1
XBP1,7494,11,3
ABCC4,10257,10,1
CHUK,1147,10,3
JAK2,3717,10,3
LDHA,3939,10,3
MYC,4609,10,1
PDCD4,27250,10,1
POMC,5443,10,1
SMAD3,4088,10,2
STAT1,6772,10,2
TFRC,7037,10,3
TLR7,51284,10,1
TRP53,22059,10,1
XDH,7498,10,2
APOA1,335,9,2
CASP10,843,9,1
CDH2,1000,9,2
CYP11A1,1583,9,2
CYP19A1,1588,9,2
FSHB,2488,9,1
HGF,3082,9,2
KLK3,354,9,1
MIR27A,407018,9,1
NR1I2,8856,9,2
PCNA,5111,9,3
PTEN,5728,9,3
PTK2,5747,9,1
RPS6KB1,6198,9,3
SLC2A4,6517,9,2
STAR,6770,9,2
TJP1,7082,9,2
TNFSF11,8600,9,1
ABCG2,9429,8,3
APOE,348,8,2
