Gene Symbol,Description,Category,Gifts,GC Id,Relevance score, GeneCards Link
GSDMD,Gasdermin D,Protein Coding,38,GC08P143553,16.1197319,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GSDMD
GSDME,Gasdermin E,Protein Coding,32,GC07M024699,13.02079773,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GSDME
NLRP3,NLR Family Pyrin Domain Containing 3,Protein Coding,46,GC01P247415,11.38750935,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NLRP3
CASP1,Caspase 1,Protein Coding,49,GC11M105025,9.854516983,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASP1
GSDMC,Gasdermin C,Protein Coding,33,GC08M129705,8.537796974,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GSDMC
GSDMB,Gasdermin B,Protein Coding,36,GC17M039904,8.302495956,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GSDMB
CASP4,Caspase 4,Protein Coding,46,GC11M104942,7.36176157,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASP4
NLRP1,NLR Family Pyrin Domain Containing 1,Protein Coding,43,GC17M005499,6.150554657,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NLRP1
GSDMA,Gasdermin A,Protein Coding,36,GC17P050345,5.794462204,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GSDMA
GZMB,Granzyme B,Protein Coding,46,GC14M024630,5.490815163,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GZMB
CARD8,Caspase Recruitment Domain Family Member 8,Protein Coding,40,GC19M062134,5.411398411,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CARD8
CASP8,Caspase 8,Protein Coding,50,GC02P201233,5.343414307,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASP8
GZMA,Granzyme A,Protein Coding,42,GC05P055102,5.123249531,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GZMA
IL1B,Interleukin 1 Beta,Protein Coding,46,GC02M112829,5.008757591,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL1B
DPP9,Dipeptidyl Peptidase 9,Protein Coding,42,GC19M004675,4.642873287,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DPP9
DPP8,Dipeptidyl Peptidase 8,Protein Coding,38,GC15M065442,4.620062351,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DPP8
NLRC4,NLR Family CARD Domain Containing 4,Protein Coding,44,GC02M032224,4.234158516,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NLRC4
AIM2,Absent In Melanoma 2,Protein Coding,41,GC01M159062,3.860152006,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AIM2
CASP5,Caspase 5,Protein Coding,42,GC11M104995,3.816459894,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASP5
ZBP1,Z-DNA Binding Protein 1,Protein Coding,38,GC20M057603,3.725523233,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZBP1
PYCARD,PYD And CARD Domain Containing,Protein Coding,41,GC16M031201,3.595227242,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PYCARD
CASP3,Caspase 3,Protein Coding,48,GC04M184627,3.506680965,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASP3
NAIP,NLR Family Apoptosis Inhibitory Protein,Protein Coding,40,GC05M070968,3.172044754,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NAIP
CASP6,Caspase 6,Protein Coding,47,GC04M109688,2.956211805,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASP6
DHX9,DExH-Box Helicase 9,Protein Coding,41,GC01P182839,2.956211805,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DHX9
NLRP9,NLR Family Pyrin Domain Containing 9,Protein Coding,34,GC19M062536,2.956211805,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NLRP9
APIP,APAF1 Interacting Protein,Protein Coding,37,GC11M034854,2.712080479,https://www.genecards.org/cgi-bin/carddisp.pl?gene=APIP
IL18,Interleukin 18,Protein Coding,42,GC11M112143,2.665162325,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL18
HMGB1,High Mobility Group Box 1,Protein Coding,44,GC13M030456,2.663097382,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HMGB1
STAT3,Signal Transducer And Activator Of Transcription 3,Protein Coding,50,GC17M042313,2.531138182,https://www.genecards.org/cgi-bin/carddisp.pl?gene=STAT3
MALAT1,Metastasis Associated Lung Adenocarcinoma Transcript 1,RNA Gene,24,GC11P068989,2.486378908,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MALAT1
SIRT1,Sirtuin 1,Protein Coding,47,GC10P067884,2.145430803,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SIRT1
KCNQ1OT1,KCNQ1 Opposite Strand/Antisense Transcript 1,RNA Gene,27,GC11M002796,2.084419966,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNQ1OT1
TREM2,Triggering Receptor Expressed On Myeloid Cells 2,Protein Coding,43,GC06M061491,2.058751106,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TREM2
MIR223,MicroRNA 223,RNA Gene,22,GC0XP066018,2.039730549,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR223
FOXO3,Forkhead Box O3,Protein Coding,44,GC06P108559,2.021756411,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOXO3
MIR30C1,MicroRNA 30c-1,RNA Gene,23,GC01P040757,2.001443624,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR30C1
