Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
PIR,Pirin,Protein Coding,O00625,45,GC0XM015402,13.2209177,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIR
SOD1,Superoxide Dismutase 1,Protein Coding,P00441,60,GC21P031659,12.00481319,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOD1
JUN,"Jun Proto-Oncogene, AP-1 Transcription Factor Subunit",Protein Coding,P05412,56,GC01M058780,11.12051582,https://www.genecards.org/cgi-bin/carddisp.pl?gene=JUN
CASP3,Caspase 3,Protein Coding,P42574,56,GC04M184627,11.02493668,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASP3
MAPK1,Mitogen-Activated Protein Kinase 1,Protein Coding,P28482,60,GC22M021759,10.43356705,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK1
HSPA4,Heat Shock Protein Family A (Hsp70) Member 4,Protein Coding,P34932,49,GC05P133062,9.887334824,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSPA4
NFKB1,Nuclear Factor Kappa B Subunit 1,Protein Coding,P19838,60,GC04P102501,9.858816147,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFKB1
CYP1A1,Cytochrome P450 Family 1 Subfamily A Member 1,Protein Coding,P04798,54,GC15M074719,9.55403614,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP1A1
CAT,Catalase,Protein Coding,P04040,58,GC11P034460,9.499614716,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAT
OXA1L,OXA1L Mitochondrial Inner Membrane Protein,Protein Coding,Q15070,45,GC14P022766,9.31098175,https://www.genecards.org/cgi-bin/carddisp.pl?gene=OXA1L
NFE2L2,NFE2 Like BZIP Transcription Factor 2,Protein Coding,Q16236,58,GC02M177227,9.120142937,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFE2L2
BCL2,BCL2 Apoptosis Regulator,Protein Coding,P10415,58,GC18M063123,8.850235939,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCL2
MAPK8,Mitogen-Activated Protein Kinase 8,Protein Coding,P45983,56,GC10P048306,8.814541817,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK8
ABCB1,ATP Binding Cassette Subfamily B Member 1,Protein Coding,P08183,58,GC07M087504,8.356492996,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCB1
XDH,Xanthine Dehydrogenase,Protein Coding,P47989,54,GC02M031334,8.325921059,https://www.genecards.org/cgi-bin/carddisp.pl?gene=XDH
BAX,"BCL2 Associated X, Apoptosis Regulator",Protein Coding,Q07812,57,GC19P048954,8.242584229,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BAX
MAPK14,Mitogen-Activated Protein Kinase 14,Protein Coding,Q16539,57,GC06P104232,8.175839424,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK14
TYR,Tyrosinase,Protein Coding,P14679,55,GC11P089177,7.946847916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TYR
BIRC5,Baculoviral IAP Repeat Containing 5,Protein Coding,O15392,52,GC17P078214,7.833881378,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BIRC5
POLB,DNA Polymerase Beta,Protein Coding,P06746,52,GC08P042338,7.765869141,https://www.genecards.org/cgi-bin/carddisp.pl?gene=POLB
PARP1,Poly(ADP-Ribose) Polymerase 1,Protein Coding,P09874,57,GC01M226360,7.764443398,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PARP1
CYP2A6,Cytochrome P450 Family 2 Subfamily A Member 6,Protein Coding,P11509,53,GC19M040843,7.752176762,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP2A6
CBR1,Carbonyl Reductase 1,Protein Coding,P16152,50,GC21P036069,7.712376595,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CBR1
PIK3CG,"Phosphatidylinositol-4,5-Bisphosphate 3-Kinase Catalytic Subunit Gamma",Protein Coding,P48736,56,GC07P106865,7.679615021,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIK3CG
PTGS2,Prostaglandin-Endoperoxide Synthase 2,Protein Coding,P35354,56,GC01M186671,7.672671795,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTGS2
NOS2,Nitric Oxide Synthase 2,Protein Coding,P35228,56,GC17M027756,7.614601135,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOS2
GUSB,Glucuronidase Beta,Protein Coding,P08236,54,GC07M065960,7.5153265,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GUSB
LINC01672,Long Intergenic Non-Protein Coding RNA 1672,RNA Gene,,14,GC01P007077,7.438315868,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC01672
ANXA5,Annexin A5,Protein Coding,P08758,53,GC04M121667,7.407225609,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANXA5
HSPA1A,Heat Shock Protein Family A (Hsp70) Member 1A,Protein Coding,P0DMV8,53,GC06P104117,7.362089157,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSPA1A
CCND1,Cyclin D1,Protein Coding,P24385,60,GC11P069641,7.139493465,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCND1
SIRT1,Sirtuin 1,Protein Coding,Q96EB6,56,GC10P067884,7.12493372,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SIRT1
HIF1A,Hypoxia Inducible Factor 1 Subunit Alpha,Protein Coding,Q16665,55,GC14P061695,7.0696702,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HIF1A
SP1,Sp1 Transcription Factor,Protein Coding,P08047,52,GC12P053380,6.997062206,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SP1
HSPA8,Heat Shock Protein Family A (Hsp70) Member 8,Protein Coding,P11142,56,GC11M123057,6.978254318,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSPA8
CYP3A4,Cytochrome P450 Family 3 Subfamily A Member 4,Protein Coding,P08684,55,GC07M099773,6.954679012,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP3A4
CTNNB1,Catenin Beta 1,Protein Coding,P35222,60,GC03P041194,6.938704967,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTNNB1
KDM4E,Lysine Demethylase 4E,Protein Coding,B2RXH2,33,GC11P095026,6.838941097,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KDM4E
ABCC2,ATP Binding Cassette Subfamily C Member 2,Protein Coding,Q92887,54,GC10P099782,6.834363461,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCC2
AR,Androgen Receptor,Protein Coding,P10275,58,GC0XP067544,6.793846607,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AR
CYCS,"Cytochrome C, Somatic",Protein Coding,P99999,55,GC07M025118,6.778139114,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYCS
HSPB1,Heat Shock Protein Family B (Small) Member 1,Protein Coding,P04792,58,GC07P076302,6.734652996,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSPB1
IL1B,Interleukin 1 Beta,Protein Coding,P01584,54,GC02M112829,6.672839165,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL1B
HSP90AA1,Heat Shock Protein 90 Alpha Family Class A Member 1,Protein Coding,P07900,58,GC14M102080,6.667959213,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSP90AA1
UGT1A1,UDP Glucuronosyltransferase Family 1 Member A1,Protein Coding,P22309,57,GC02P233760,6.609382629,https://www.genecards.org/cgi-bin/carddisp.pl?gene=UGT1A1
HMOX1,Heme Oxygenase 1,Protein Coding,P09601,59,GC22P035380,6.542067051,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HMOX1
NQO1,NAD(P)H Quinone Dehydrogenase 1,Protein Coding,P15559,54,GC16M069706,6.515040398,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NQO1
SULT1A1,Sulfotransferase Family 1A Member 1,Protein Coding,P50225,49,GC16M040649,6.396554947,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SULT1A1
AKT1,AKT Serine/Threonine Kinase 1,Protein Coding,P31749,60,GC14M104769,6.359007835,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKT1
ABCC1,ATP Binding Cassette Subfamily C Member 1,Protein Coding,P33527,55,GC16P015949,6.3035326,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCC1
CYP2C8,Cytochrome P450 Family 2 Subfamily C Member 8,Protein Coding,P10632,53,GC10M095038,6.260876179,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP2C8
CYP1A2,Cytochrome P450 Family 1 Subfamily A Member 2,Protein Coding,P05177,52,GC15P074748,6.1847682,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP1A2
ARSH,Arylsulfatase Family Member H,Protein Coding,Q5FYA8,39,GC0XP003006,6.183067322,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARSH
APOB,Apolipoprotein B,Protein Coding,P04114,53,GC02M020956,6.061258793,https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOB
GSR,Glutathione-Disulfide Reductase,Protein Coding,P00390,56,GC08M030678,6.028393269,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GSR
CASP9,Caspase 9,Protein Coding,P55211,54,GC01M015491,6.018044949,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASP9
HSF1,Heat Shock Transcription Factor 1,Protein Coding,Q00613,54,GC08P144291,6.003443241,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSF1
BCL2L1,BCL2 Like 1,Protein Coding,Q07817,54,GC20M031664,5.993620396,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCL2L1
CYP2C9,Cytochrome P450 Family 2 Subfamily C Member 9,Protein Coding,P11712,52,GC10P094938,5.985956192,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP2C9
